iter	RMSE
0	16.91149676
1	15.85076886
2	14.78848993
3	13.90047882
4	13.11969035
5	12.46311279
6	11.85838675
7	11.34618125
8	10.89887056
9	10.51742787
10	10.18404233
11	9.908772902
12	9.662617615
13	9.44903667
14	9.262183799
15	9.096333986
16	8.937575178
17	8.820945693
18	8.703218987
19	8.606767545
20	8.511827183
21	8.420423984
22	8.33847521
23	8.274587563
24	8.222629317
25	8.168214773
26	8.125128433
27	8.066627878
28	8.011505826
29	7.977244345
30	7.945644195
31	7.917739357
32	7.890819053
33	7.858194586
34	7.808119777
35	7.786095571
36	7.767949929
37	7.749143528
38	7.713605355
39	7.688859382
40	7.670542843
41	7.653016983
42	7.63459181
43	7.619943695
44	7.605603964
45	7.590770539
46	7.579332465
47	7.565431186
48	7.553555924
49	7.535811313
50	7.525380069
51	7.513466721
52	7.504959903
53	7.496937495
54	7.490232118
55	7.478127544
56	7.471117758
57	7.460381205
58	7.455176247
59	7.448457134
60	7.441575897
61	7.436378716
62	7.426819701
63	7.419159764
64	7.408415022
65	7.400782651
66	7.391383156
67	7.386904287
68	7.377157758
69	7.37093767
70	7.367844623
71	7.360659024
72	7.355575731
73	7.348188254
74	7.342605827
75	7.337603959
76	7.332530145
77	7.328624003
78	7.322055384
79	7.314902761
80	7.307881906
81	7.301742086
82	7.298454021
83	7.286498415
84	7.27659534
85	7.26914091
86	7.265222506
87	7.254561277
88	7.251133011
89	7.248030476
90	7.244049509
91	7.240322244
92	7.236673609
93	7.233441197
94	7.230573912
95	7.228481188
96	7.225606053
97	7.219325323
98	7.21643888
99	7.212384174
100	7.209480683
101	7.201647684
102	7.195740105
103	7.191924779
104	7.186735531
105	7.183965331
106	7.181121974
107	7.179471621
108	7.175887841
109	7.173746885
110	7.168397861
111	7.165081744
112	7.161198069
113	7.156156116
114	7.154439559
115	7.150478331
116	7.147315605
117	7.142702064
118	7.140751543
119	7.138412718
120	7.133387905
121	7.130639542
122	7.130279553
123	7.128704071
124	7.124173709
125	7.121764799
126	7.119408092
127	7.116182008
128	7.115999145
129	7.114022606
130	7.109507665
131	7.10295899
132	7.099259478
133	7.099069425
134	7.094704831
135	7.088700702
136	7.083174051
137	7.07978512
138	7.078085798
139	7.076467426
140	7.072241029
141	7.069083244
142	7.067107609
143	7.06457495
144	7.059982451
145	7.05984143
146	7.05780633
147	7.052928005
148	7.050642395
149	7.048012448
150	7.045977552
151	7.045065615
152	7.043053654
153	7.041835181
154	7.036503017
155	7.032336834
156	7.030684528
157	7.028368298
158	7.02338405
159	7.020547667
160	7.018887485
161	7.015830455
162	7.014649008
163	7.012197993
164	7.010624316
165	7.010005125
166	7.006049439
167	7.004586966
168	7.003462374
169	7.000137858
170	6.997806443
171	6.994501367
172	6.992533479
173	6.991877173
174	6.989732947
175	6.985749924
176	6.983728963
177	6.980419952
178	6.977708785
179	6.975871078
180	6.973962512
181	6.972444109
182	6.970651242
183	6.970604195
184	6.970070803
185	6.969170009
186	6.967591221
187	6.966563589
188	6.965577665
189	6.963752812
190	6.962105949
191	6.961058801
192	6.959045009
193	6.95804656
194	6.955600374
195	6.951886166
196	6.950091654
197	6.947671233
198	6.946803089
199	6.942975747
200	6.941746309
201	6.939008634
202	6.937552839
203	6.936635849
204	6.932415502
205	6.931764891
206	6.930799592
207	6.929693227
208	6.928349618
209	6.926904535
210	6.925490008
211	6.92531564
212	6.924083391
213	6.923376779
214	6.921583532
215	6.918817582
216	6.917825122
217	6.916530927
218	6.914978254
219	6.914288923
220	6.913003262
221	6.912189869
222	6.910078919
223	6.908362511
224	6.908051227
225	6.906352435
226	6.90385445
227	6.903198934
228	6.902041655
229	6.900657455
230	6.898405568
231	6.897804275
232	6.896766383
233	6.895770275
234	6.893994755
235	6.892828466
236	6.891089432
237	6.89019974
238	6.889031671
239	6.888895058
240	6.88801804
241	6.886565805
242	6.88550084
243	6.884546457
244	6.882477263
245	6.880799101
246	6.879501824
247	6.878529072
248	6.87785549
249	6.875259795
250	6.874387393
251	6.873017919
