iter	Passed	Remaining
0	164	329263
1	323	322743
2	500	333192
3	634	316487
4	770	307395
5	912	303104
6	1056	300911
7	1197	298119
8	1340	296651
9	1463	291306
10	1601	289537
11	1758	291323
12	1895	289777
13	2025	287316
14	2158	285622
15	2280	282794
16	2402	280270
17	2554	281329
18	2724	284083
19	2880	285168
20	3026	285228
21	3185	286440
22	3351	288086
23	3497	287985
24	3651	288459
25	3784	287359
26	3908	285592
27	4001	281845
28	4090	278035
29	4187	274968
30	4283	272087
31	4383	269578
32	4475	266770
33	4546	262866
34	4626	259742
35	4716	257296
36	4829	256205
37	4955	255836
38	5051	254009
39	5148	252299
40	5246	250700
41	5328	248426
42	5417	246543
43	5518	245304
44	5616	243984
45	5727	243282
46	5841	242715
47	5935	241382
48	6043	240613
49	6128	239004
50	6214	237500
51	6311	236438
52	6415	235690
53	6520	234986
54	6632	234543
55	6718	233236
56	6826	232701
57	6946	232594
58	7030	231305
59	7115	230070
60	7218	229458
61	7328	229080
62	7439	228725
63	7524	227609
64	7613	226638
65	7713	226024
66	7792	224824
67	7890	224189
68	8003	223972
69	8142	224505
70	8243	223968
71	8371	224164
72	8472	223657
73	8577	223239
74	8686	222946
75	8779	222264
76	8870	221543
77	8988	221496
78	9072	220617
79	9166	219994
80	9272	219672
81	9364	219032
82	9454	218361
83	9566	218215
84	9661	217657
85	9745	216890
86	9834	216246
87	9928	215716
88	10022	215192
89	10107	214496
90	10189	213745
91	10298	213589
92	10405	213372
93	10517	213268
94	10609	212753
95	10718	212583
96	10875	213365
97	11023	213937
98	11190	214880
99	11276	214253
100	11456	215412
101	11593	215723
102	11687	215251
103	11773	214647
104	11912	214989
105	12008	214563
106	12103	214134
107	12194	213623
108	12287	213176
109	12388	212854
110	12503	212783
111	12592	212271
112	12685	211844
113	12802	211804
114	12902	211491
115	12985	210905
116	13143	211526
117	13230	211013
118	13342	210908
119	13435	210487
120	13541	210284
121	13672	210461
122	13777	210248
123	13970	211361
124	14113	211702
125	14223	211548
126	14337	211450
127	14442	211214
128	14537	210851
129	14633	210499
130	14763	210638
131	14877	210542
132	14979	210280
133	15080	209998
134	15170	209580
135	15290	209566
136	15402	209450
137	15578	210193
138	15680	209938
139	15793	209822
140	15904	209689
141	16025	209683
142	16161	209871
143	16320	210352
144	16459	210568
